NOM;RUE;ADRESSE;DATE ACTIVATION EEL;Latitude;Longitude;EEL;CLINICAL;NOMBRE MOYEN DE DOSSIERS EEL/J    SEMAINE-1;PMD;NOMBRE DE DOSSIERS EEL EN 2024;NOMBRE DE DOSSIERS EEL S-5;NOMBRE DE DOSSIERS EEL S-4;NOMBRE DE DOSSIERS EEL S-3;NOMBRE DE DOSSIERS EEL S-2;NOMBRE DE DOSSIERS EEL S-1;IDF
LBM ACHERES;26 avenue de Stalingrad;26 avenue de Stalingrad 78260  ACHERES;17/07/2024;48.961049;2.069161;Oui;Oui;0;0;0;0;0;0;0;0;IDFO
LBM ANTONY VELPEAU;8 av Aristide Briand;8 av Aristide Briand 92160  ANTONY VELPEAU;06/04/2023;48.755504;2.30187;Oui;Oui;2;44;527;11;19;16;11;12;IDFS
LBM ARGENTEUIL;3 place Pierre Semard;3 place Pierre Semard 95100  ARGENTEUIL;16/09/2024;48.9478104;2.2560749;Oui;Oui;1;83;18;3;4;3;7;1;IDFO
LBM ARPAJON;62 Av Salvador Allende ;62 Av Salvador Allende  91290  ARPAJON;24/03/2024;48.591143;2.2581514;Oui;Oui;1;55;60;4;4;3;5;4;IDFS
LBM ATHIS MONS;28 avenue Jules Valles;28 avenue Jules Valles 91200  ATHIS MONS;20/04/2023;48.699826;2.3760097;Oui;Oui;0;0;40;0;1;1;1;0;IDFS
LBM AUBERGENVILLE;26 rue de Quarante sous;26 rue de Quarante sous 7841B  AUBERGENVILLE;01/12/2023;48.95996;1.85467;Oui;Oui;1;36;87;2;8;5;3;2;IDFO
LBM AULNAY CLINIQUE;33 av du 14 juillet;33 av du 14 juillet 93600  AULNAY CLINIQUE;01/12/2023;48.9287975;2.49645;Oui;Oui;2;60;24;0;0;1;1;3;IDFE
LBM AULNAY GARE;1 route de Bondy;1 route de Bondy 93600  AULNAY GARE;01/12/2023;48.930289;2.493844;Oui;Oui;1;32;106;2;9;3;4;5;IDFE
LBM BALLANCOURT;33 rue de la papeterie;33 rue de la papeterie 91610  BALLANCOURT;17/07/2024;48.5279452;2.3722349;Oui;Oui;1;47;32;2;5;3;2;2;IDFS
LBM BELLEVILLE-PYRENEES;383 rue des Pyrenees;383 rue des Pyrenees 75020  ;26/05/2024;48.8739714;2.3857924;Oui;Oui;0;0;247;0;0;0;0;0;IDFE
LBM BEYNES;C.Cial de la petite Mauldre;C.Cial de la petite Mauldre 78650  BEYNES;01/07/2023;48.838;1.8376;Oui;Oui;0;0;103;2;6;3;1;0;IDFO
LBM BLIGNY;rue de Bligny;rue de Bligny 91640  ;NC;48.6210497;2.1501305;Non;Oui;0;0;0;0;0;0;0;0;IDFS
LBM BOIS DE VERRIERES;1 A Rue Velpeau;1 A Rue Velpeau 92160  BOIS DE VERRIERES;NC;48.75744;2.24188;Non;Oui;0;0;0;0;0;0;0;0;IDFS
LBM BONDY GARE;132-136 Rue Roger Salengro ;132-136 Rue Roger Salengro  93140  BONDY GARE;NC;48.8955936;2.4772834;Non;Non;0;0;0;0;0;0;0;0;IDFE
LBM BONDY NORD;12 av Henri Varagnat;12 av Henri Varagnat 93140  BONDY ;01/01/2024;48.91284;2.482166;Oui;Oui;0;0;6;0;0;1;0;0;IDFE
LBM BONDY POLISSARD;41 Bis Rue Auguste Polissard  ;41 Bis Rue Auguste Polissard   93140  BONDY POLISSARD;NC;48.903647;2.480571;Non;Non;0;0;0;0;0;0;0;0;IDFE
LBM BOURG LA REINE;123 Ave du General Leclerc;123 Ave du General Leclerc 92340  BOURG LA REINE;30/03/2023;48.7789;2.3178;Oui;Oui;7;44;922;24;60;36;31;41;IDFS
LBM BRETIGNY - GARE;4 place Federico Garcia Lorca;4 place Federico Garcia Lorca 91220  BRETIGNY - GARE;25/09/2023;48.60644;2.300214;Oui;Oui;1;74;59;2;1;5;5;4;IDFS
LBM BRETIGNY - MOINERIE;194 boulevard de France;194 boulevard de France 91220  BRETIGNY ;02/10/2023;48.5989897;2.3045303;Oui;Oui;1;31;32;0;1;2;3;2;IDFS
LBM BREUILLET;5 rue du Buisson Rondeau;5 rue du Buisson Rondeau 91650  BREUILLET;26/07/2024;48.5688518;2.1612713;Oui;Oui;1;63;33;2;9;5;9;5;IDFS
LBM BUSSY SAINT GEORGES;1 Place Fulgence Bienvenue  ;1 Place Fulgence Bienvenue   77600  BUSSY SAINT GEORGES;21/10/2024;48.84099;2.70165;Non;Oui;0;0;0;0;0;0;0;0;IDFE
LBM CACHAN VELPEAU;13 av de la Division-Leclerc;13 av de la Division-Leclerc 94230  CACHAN VELPEAU;04/04/2023;48.785299;2.3280139;Oui;Oui;1;28;125;3;4;12;3;3;IDFS
LBM CERGY 3 FONTAINES;4 Gd place du GÂ–n. De Gaulle;4 Gd place du Général De Gaulle 95000  ;17/07/2024;49.036501;2.079214;Oui;Oui;0;0;11;1;0;0;0;0;IDFO
LBM CERGY LE HAUT;30 Boulevard de l'Evasion;30 Boulevard de l'Evasion 95802  CERGY LE HAUT;17/07/2024;49.0493337;2.0105;Oui;Oui;7;52;202;12;53;45;41;42;IDFO
LBM CERGY ST CHRISTOPHE;19 av de Mondetour;19 av de Mondetour 95000  CERGY ST CHRISTOPHE;17/07/2024;49.053127;2.054336;Oui;Oui;0;0;6;1;1;1;0;0;IDFO
LBM CERGY TOULEUSES;9 Place des Touleuses;9 Place des Touleuses 95000  CERGY TOULEUSES;NC;49.0299165;2.0831545;Non;Oui;0;0;0;0;0;0;0;0;IDFO
LBM CHAMPS-SUR-MARNE;2 AllÂ–e d'Alexandrie  ;2 AllÂ–e d'Alexandrie   77420  CHAMPS-SUR-MARNE;08/12/2023;48.85;2.6;Oui;Oui;3;56;310;9;12;16;11;13;IDFE
LBM CHARLES TELLIER;12 Rue Charles Tellier;12 Rue Charles Tellier 75016;01/01/2024;48.838677;2.2618395;Oui;Oui;2;50;270;8;16;7;7;10;IDFE
LBM CHARONNE;35 BD DE CHARONNE;35 BD DE CHARONNE 75011  ;01/05/2023;48.8529989;2.3970673;Oui;Oui;4;61;364;14;2;13;25;16;IDFE
LBM CHEMIN VERT;42 Bd Richard Lenoir;42 Bd Richard Lenoir 75011  PARIS;NC;48.8578468;2.3717062;Non;Oui;0;0;0;0;0;0;0;0;IDFE
LBM CHILLY - GRAVIGNY;97 RUE DE GRAVIGNY;97 RUE DE GRAVIGNY 91380  CHILLY - GRAVIGNY;17/07/2024;48.693972;2.3118564;Oui;Oui;1;17;6;0;0;2;1;1;IDFS
LBM CHILLY MAZARIN;27 avenue Pierre Brossolette;27 avenue Pierre Brossolette 91380 CHILLY MAZARIN;22/07/2024;48.6994818;2.3155376;Oui;Oui;1;61;18;1;4;0;2;1;IDFS
LBM CHOISY LE ROI;14 Avenue Jean Jaures 94600 Choisy-le-Roi;14 Avenue Jean Jaures 94600 Choisy-le-Roi;22/07/2024;48.7659277;2.4103417;Oui;Oui;1;45;18;0;7;3;3;1;IDFS
LBM CLAUDE GALIEN;20 route de Boussy;20 route de Boussy 91480 ;NC;48.681565;2.538795;Non;Non;0;0;0;0;0;0;0;0;IDFS
LBM CONVENTION;53 RUE DE LA CONVENTION;53 RUE DE LA CONVENTION 75015  PARIS;01/06/2023;48.8437881;2.2824077;Oui;Oui;1;86;170;6;5;7;8;3;IDFE
LBM CORBEIL;20 rue Feray;20 rue Feray 9110E  CORBEIL;21/04/2023;48.60603;2.48757;Oui;Oui;0;0;57;3;3;1;0;0;IDFS
LBM CROIX-NIVERT;158 rue de la Croix Nivert;158 rue de la Croix Nivert 75015  CROIX-NIVERT;19/01/2023;48.8408598;2.2909013;Oui;Oui;5;54;560;18;14;16;19;29;IDFE
LBM DAUMESNIL;33 Rue Jacques Hillairet;33 Rue Jacques Hillairet 75012  DAUMESNIL;01/04/2023;48.8433666;2.3887931;Oui;Oui;4;51;672;14;23;28;33;24;IDFE
LBM DES QUATRE CHEMINS;99 AV DE LA REPUBLIQUE;99 AV DE LA REPUBLIQUE 93300  ;01/08/2023;48.905407;2.390489;Oui;Oui;3;92;306;6;28;27;17;20;IDFE
LBM DEUIL CENTRE ;Place des Victimes du V2;Place des Victimes du V2 95170  DEUIL ;01/08/2023;48.9761987;2.326642;Oui;Oui;1;89;31;0;4;1;0;1;IDFO
LBM DEUIL LA BARRE;1 Rue d'Ormesson;1 Rue d'Ormesson 95170  DEUIL LA BARRE;01/08/2023;48.9669388;2.3174179;Oui;Oui;0;0;24;1;1;1;0;0;IDFO
LBM DEUIL LA BARRE GALATHEE;4 place de la Nation;4 place de la Nation 95170  DEUIL LA BARRE GALATHEE;01/08/2023;48.965244;2.329723;Oui;Oui;0;0;38;0;1;2;0;0;IDFO
LBM DIDEROT;70 BOULEVARD DIDEROT ;70 BOULEVARD DIDEROT  75012  ;21/10/2024;48.8465601;2.3813781;Non;Oui;0;0;0;0;0;0;0;0;IDFE
LBM DUGNY;7 PLACE GABRIEL PERI;7 PLACE GABRIEL PERI 93440  DUGNY;NC;48.954772;2.417066;Non;Non;0;0;0;0;0;0;0;0;IDFE
LBM ENGHIEN LES BAINS;6 place de MarÂ–chal Foch;6 place de MarÂ–chal Foch 95880  ENGHIEN LES BAINS;NC;48.9667;2.3167;Non;Non;0;0;0;0;0;0;0;0;IDFO
LBM EPINAY SUR ORGE;Chemin des Tourelles Centre commercial Carrefour Market epinay-sur-orge;Chemin des Tourelles Centre commercial Carrefour Market epinay-sur-orge 91360  EPINAY;26/07/2024;48.669107;2.334878;Oui;Oui;0;0;0;0;0;0;0;0;IDFS
LBM EPINAY SUR SEINE;34 bis rue Commandant Bouchet;34 bis rue Commandant Bouchet 93800  EPINAY SUR SEINE;01/07/2024;48.9527889;2.3235273;Oui;Oui;0;0;4;1;0;0;1;0;IDFE
LBM ETAMPES;12 avenue de la LibÂ–ration;12 avenue de la LibÂ–ration 91150  ETAMPES;18/04/2023;48.43333;2.15;Oui;Oui;1;23;82;0;3;3;5;4;IDFS
LBM ETRECHY;5 rue du Moulin Â˜ vent;5 rue du Moulin Â˜ vent 91580  ETRECHY;04/04/2023;48.4892393;2.1876982;Oui;Oui;0;0;75;1;4;2;4;0;IDFS
LBM EVRY;3 place MendÂ—s France;3 place MendÂ—s France 91000  EVRY;30/03/2023;48.627114;2.429016;Oui;Oui;2;49;55;4;3;3;1;5;IDFS
LBM FONTENAY TRESIGNY;24 Rue Bertaux  ;24 Rue Bertaux   77610  FONTENAY TRESIGNY;01/02/2024;48.70647;2.87047;Oui;Oui;0;0;4;0;0;0;1;0;IDFE
LBM FRENEUSE;2 Bis Charles de Gaulle;2 Bis Charles de Gaulle 7884A  FRENEUSE;21/10/2024;49.04832;1.60168;Non;Oui;0;0;0;0;0;0;0;0;IDFO
LBM GAMBETTA;10 AV GAMBETTA;10 AV GAMBETTA 75020;01/06/2023;48.863193;2.389089;Oui;Oui;2;75;604;9;20;18;20;11;IDFE
LBM GRENELLE;10-12 RUE FREMICOURT;10-12 RUE FREMICOURT 75015  GRENELLE;01/04/2023;48.8473939;2.2981161;Oui;Oui;2;63;233;6;11;13;4;9;IDFE
LBM GRIGNY;12 place Henri Barbusse;12 place Henri Barbusse 91350  GRIGNY;17/07/2024;48.6529675;2.391706;Oui;Oui;1;27;8;0;5;0;0;1;IDFS
LBM IVRY SUR SEINE;5 PromenÂ–e Venise Gosnat;5 PromenÂ–e Venise Gosnat 94200  IVRY SUR SEINE;19/06/2023;48.8157;2.3849;Oui;Oui;1;87;125;0;2;5;10;2;IDFS
LBM JACQUES CARTIER;6 av du Noyer Lambert;6 av du Noyer Lambert 91300  ;15/10/2024;48.7313756;2.2916053;Oui;Oui;1;44;1;0;0;0;0;1;IDFS
LBM JEANNE D'ARC;27 Place Jeanne d'arc ;27 Place Jeanne d'arc  75013  JEANNE D'ARC;20/10/2024;48.8322;2.3561;Oui;Oui;0;0;0;0;0;0;0;0;IDFE
